Date,Open,High,Low,Close,Adj Close,Volume
2016-05-23,6.170000,6.280000,6.130000,6.150000,6.150000,272600
2016-05-24,6.160000,6.310000,6.140000,6.140000,6.140000,261300
2016-05-25,6.150000,6.480000,6.150000,6.420000,6.420000,498900
2016-05-26,6.490000,6.680000,6.390000,6.410000,6.410000,368000
2016-05-27,6.410000,6.800000,6.410000,6.790000,6.790000,438800
2016-05-31,6.900000,7.770000,6.830000,7.650000,7.650000,1503700
2016-06-01,7.760000,8.100000,7.430000,8.000000,8.000000,1065400
2016-06-02,8.040000,8.290000,7.730000,8.230000,8.230000,805500
2016-06-03,8.140000,8.280000,8.060000,8.220000,8.220000,505100
2016-06-06,8.280000,8.750000,8.250000,8.610000,8.610000,527200
2016-06-07,8.740000,8.880000,7.390000,7.620000,7.620000,1454600
2016-06-08,7.730000,8.000000,7.240000,7.340000,7.340000,1595900
2016-06-09,6.820000,6.950000,6.030000,6.120000,6.120000,2407500
2016-06-10,6.090000,6.130000,5.900000,5.900000,5.900000,1025200
2016-06-13,5.910000,5.920000,5.390000,5.410000,5.410000,1338500
2016-06-14,5.370000,5.690000,5.360000,5.400000,5.400000,857400
2016-06-15,5.500000,5.710000,5.390000,5.430000,5.430000,746600
2016-06-16,5.360000,5.420000,5.220000,5.320000,5.320000,772200
2016-06-17,5.370000,5.800000,5.350000,5.530000,5.530000,925600
2016-06-20,5.640000,5.860000,5.360000,5.470000,5.470000,873800
2016-06-21,5.430000,5.640000,5.320000,5.430000,5.430000,590500
2016-06-22,5.430000,5.430000,5.260000,5.330000,5.330000,512000
2016-06-23,5.400000,5.500000,5.290000,5.500000,5.500000,515500
2016-06-24,5.250000,5.420000,5.170000,5.200000,5.200000,991500
2016-06-27,5.150000,5.480000,5.020000,5.450000,5.450000,695900
2016-06-28,5.500000,5.790000,5.500000,5.790000,5.790000,613800
2016-06-29,5.830000,6.300000,5.820000,6.300000,6.300000,1087700
2016-06-30,6.280000,6.300000,6.000000,6.220000,6.220000,526100
2016-07-01,6.280000,6.440000,6.150000,6.370000,6.370000,456900
2016-07-05,6.280000,6.320000,5.710000,5.940000,5.940000,679800
2016-07-06,5.860000,6.000000,5.710000,5.840000,5.840000,313400
2016-07-07,5.880000,6.150000,5.720000,5.830000,5.830000,821100
2016-07-08,5.850000,5.960000,5.720000,5.730000,5.730000,625800
2016-07-11,5.750000,5.800000,5.500000,5.530000,5.530000,1260300
2016-07-12,5.630000,5.640000,5.280000,5.390000,5.390000,1291900
2016-07-13,5.410000,5.500000,5.230000,5.310000,5.310000,828200
2016-07-14,5.360000,5.400000,5.250000,5.390000,5.390000,619100
2016-07-15,5.390000,5.450000,5.210000,5.250000,5.250000,552700
2016-07-18,5.280000,5.430000,5.150000,5.390000,5.390000,699200
2016-07-19,5.370000,5.550000,5.230000,5.330000,5.330000,973800
2016-07-20,5.350000,5.510000,5.290000,5.470000,5.470000,649800
